a52dec 0.7.4-8
perl-http-server-simple 0.44-2
perl-io-stty 0.30.0-5
perl-io-tty 1.11-2
perl-json 2.90-1
perl-libwww 6.08-1
perl-list-moreutils 0.33-5
perl-lwp-mediatypes 6.02-2
perl-net-http 6.07-1
perl-params-util 1.07-3
perl-regexp-common 2013031301-4
perl-regexp-ipv6 0.03-1
perl-sub-uplevel 0.24-2
perl-test-warn 0.30-1
perl-tree-dag-node 1.22-2
perl-uri 1.64-1
perl-www-mechanize 1.73-1
perl-www-robotrules 6.02-2
perl-xml-namespacesupport 1.11-3
perl-xml-parser 2.41-5
perl-xml-sax 0.99-4
perl-xml-sax-base 1.08-3
perl-xml-sax-expat 0.51-2
perl-xml-simple 2.20-3
pidgin 2.10.9-2
pinentry 0.8.3-1
pixman 0.32.6-1
pkg-config 0.28-2
pkgbuild-introspection 5-1
pkgstats 2.3-6
podofo 0.9.3-1
polkit 0.112-2
poppler 0.26.5-1
poppler-glib 0.26.5-1
poppler-qt4 0.26.5-1
popt 1.16-7
portaudio 19_20140130-1
postgresql 9.3.5-1
postgresql-libs 9.3.5-1
ppp 2.4.7-1
printproto 1.0.5-3
procps-ng 3.3.9-3
protobuf 2.5.0-4
psmisc 22.21-2
pth 2.0.7-5
pulseaudio 5.0-1
pulseaudio-alsa 2-3
purple-whatsapp 0.5-1
pycharm-eap 4.0.0.138.2401-1
pycharm-professional 3.4.1-1
pygobject-devel 3.12.2-1
pygobject2-devel 2.28.6-11
pygtk 2.24.0-5
pyqt5-common 5.3.2-1
python 3.4.2-1
python-blessings 1.5.1-1
python-cairo 1.10.0-4
python-curtsies 0.1.7-1
python-dateutil 2.2-2
python-dbus-common 1.2.0-3
python-django 1.7-1
python-gobject 3.12.2-1
python-greenlet 0.4.4-1
python-irc 8.9.1-1
python-mccabe 0.2.1-5
python-pip 1.5.6-2
python-psycopg2 2.5.4-1
python-pyflakes 0.8.1-1
python-requests 2.4.3-1
python-setuptools 1:6.0.2-1
python-sh 1.09-3
python-six 1.8.0-1
python-virtualenv 1.11.6-2
python-xdg 0.25-2
python2 2.7.8-2
python2-apsw 3.8.4.3-1
python2-beaker 1.6.4-2
python2-cairo 1.10.0-2
python2-chardet 2.3.0-1
python2-cherrypy 3.3.0-1
python2-cssselect 0.9.1-2
python2-cssutils 1.0-2
python2-dateutil 2.2-2
python2-dbus 1.2.0-3
python2-dnspython 1.11.1-1
python2-feedparser 5.1.3-3
python2-fuse 0.2.1-5
python2-gobject 3.12.2-1
python2-gobject2 2.28.6-11
python2-html5lib 0.999-4
python2-lastfm-svn 0.1.0-1
python2-lxml 3.4.0-1
python2-mako 1.0.0-1
python2-markupsafe 0.23-1
python2-mechanize 0.2.5-4
python2-netifaces 0.10.4-1
python2-pillow 2.6.0-1
python2-psutil 2.1.3-1
python2-pycups 1.9.66-2
python2-pycurl 7.19.5-1
python2-pyqt5 5.3.2-1
python2-simplejson 3.6.3-1
python2-sip 4.16.3-1
python2-six 1.8.0-1
python2-virtualenv 1.11.6-2
python2-xdg 0.25-2
qemu 2.1.2-1
qpdf 5.1.2-1
qrencode 3.4.4-1
qt4 4.8.6-1
qt5-base 5.3.2-1
qt5-declarative 5.3.2-1
qt5-doc 5.3.2-1
qt5-location 5.3.2-1
qt5-quick1 5.3.2-1
qt5-quickcontrols 5.3.2-1
qt5-script 5.3.2-1
qt5-sensors 5.3.2-1
qt5-svg 5.3.2-1
qt5-tools 5.3.2-1
qt5-translations 5.3.2-1
qt5-webkit 5.3.2-1
qt5-x11extras 5.3.2-1
qt5-xmlpatterns 5.3.2-1
qtchooser 41-1
qtcreator 3.2.1.git1-1
qtwebkit 2.3.4-1
randrproto 1.4.0-2
raptor 2.0.14-1
rasqal 1:0.9.32-1
re2 20140304-1
readline 6.3.006-1
recode 3.6-8
recordproto 1.14.2-2
redland 1:1.0.17-2
redshift 1.9.1-1
redshiftgui-bin 0.2.1-3
reflector 2014.8-1
reiserfsprogs 3.6.24-1
remind 3.01.13-2
renderproto 0.11.1-3
rlwrap 0.41-1
rrdtool 1.4.8-4
rsync 3.1.1-2
rtkit 0.11-4
rtmpdump-git 0.498.a1900c3-1
rtorrent-color 0.9.4-2
ruby 2.1.3-2
run-parts 4.4-1
rxvt-unicode-patched 9.20-3
rxvt-unicode-terminfo 9.20-3
s-nail 14.7.8-1
samsutools 20080730-5
sbc 1.2-1
sbcl 1.2.2-1
schroedinger 1.0.11-2
screen 4.2.1-2
scrnsaverproto 1.2.2-2
scrot 0.8.13-1
sdl 1.2.15-7
sdl_image 1.2.12-3
seabios 1.7.5-2
sed 4.2.2-3
serf 1.3.7-1
shadow 4.2.1-1
shared-mime-info 1.3-1
sip 4.16.3-1
smbclient 4.1.12-1
smplayer 14.9.0-1
snappy 1.1.1-1
sound-theme-freedesktop 0.8-2
soundtouch 1.8.0-1
source-highlight 3.1.7-10
spacefm 0.9.4-2
spandsp 0.0.6pre21-2
speech-dispatcher 0.8-3
speex 1.2rc1-4
spice 0.12.5-1
spotify 0.9.11.27-1
sqlite 3.8.6-1
startup-notification 0.12-4
steam 1.0.0.49-2
subversion 1.8.10-1
sudo 1.8.11.p1-1
sysfsutils 2.1.0-9
syslinux 6.03-1
system-config-printer 1.4.4-1
systemd 216-3
systemd-sysvcompat 216-3
systemd-ui 3-2
t1-dejavu-ib 2.34-9
t1lib 5.1.2-5
taglib 1.9.1-1
talloc 2.1.1-1
tar 1.28-1
tcl 8.6.2-1
tdb 1.3.0-2
terminus-font 4.39-1
tevent 0.9.21-3
texinfo 5.2-2
texlive-bibtexextra 2014.34822-1
texlive-bin 2014.34260-1
texlive-core 2014.34872-1
texlive-fontsextra 2014.34817-1
texlive-formatsextra 2014.33826-1
texlive-games 2014.34491-1
texlive-genericextra 2014.34393-1
texlive-htmlxml 2014.34624-1
texlive-humanities 2014.34877-1
texlive-latexextra 2014.34865-1
texlive-music 2014.33826-1
texlive-pictures 2014.34851-1
texlive-plainextra 2014.34228-1
texlive-pstricks 2014.34856-1
texlive-publishers 2014.34878-1
texlive-science 2014.34853-1
texstudio 2.8.4-1
thin-provisioning-tools 0.4.1-1
tigervnc 1.3.1-6
time 1.7-7
tor 0.2.4.24-1
tor-browser-en 3.6.6-1
torsocks 2.0.0-1
traceroute 2.0.20-1
tre 0.8.0-3
tree 1.7.0-1
ttf-droid-ib 20121017-10
ttf-liberation-ib 2.00.1-8
ttf-ms-fonts 2.0-10
ttf-symbola-ib 7.17-1
ttf-ubuntu-font-family-ib 0.80-10
twmn-git 151.9492a47-1
tzdata 2014h-1
unagi 0.3.4-1
unrar 1:5.1.7-1
unzip 6.0-7
urxvt-fullscreen 1-1
urxvt-perls-git 114.4dec629-1
usbredir 0.6-4
usbutils 007-1
util-linux 2.25.1-1
v4l-utils 1.2.1-1
vde2 2.3.2-6
vi 1:050325-4
viber 4.2.2.6-7
vicious 2.1.3-1
videoproto 2.3.2-1
vim-flake8 1.3-1
vim-python3 7.4.459-1
vim-runtime 7.4.459-1
vimpager 1.8.9-2
vlc 2.1.5-3
vnstat 1.12-1
wavpack 4.70.0-2
wayland 1.6.0-1
webrtc-audio-processing 0.1-2
weechat 1.0.1-1
wget 1.15-1
which 2.20-7
whois 5.1.3-1
wicked-git 20141013-1
wildmidi 0.3.7-1
wine 1.7.28-1
winetricks 20140302-1
wireshark-cli 1.12.1-1
wireshark-qt 1.12.1-1
wmctrl 1.07-4
wmname 0.1-3
words 2.1-3
x11-ssh-askpass 1.2.4.1-4
x264 1:142.20140826-2
x265 1.3-1
xbitmaps 1.1.1-3
xcb-proto 1.11-1
xcb-util 0.3.9-2
xcb-util-cursor 0.1.1-1
xcb-util-image 0.3.9-2
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcursor-human 0.6-4
xdelta3 3.0.8-1
xdg-user-dirs 0.15-1
xdg-utils-mimeo 1.1.0.git20140630-1
xextproto 7.3.0-1
xf86-input-evdev 2.9.0-2
xf86-input-joystick 1.6.2-5
xf86-input-keyboard 1.8.0-3
xf86-input-mouse 1.9.1-1
xf86-input-synaptics 1.8.1-1
xf86-input-vmmouse 13.0.0-5
xf86-input-void 1.4.0-7
xf86-video-ark 0.7.5-5
xf86-video-ast 0.97.0-5
xf86-video-cirrus 1.5.2-4
xf86-video-dummy 0.3.7-3
xf86-video-fbdev 0.4.4-3
xf86-video-glint 1.2.8-5
xf86-video-i128 1.3.6-5
xf86-video-mach64 6.9.4-4
xf86-video-mga 1.6.3-3
xf86-video-modesetting 0.9.0-2
xf86-video-neomagic 1.2.8-3
xf86-video-nv 2.1.20-5
xf86-video-openchrome 0.3.3-4
xf86-video-r128 6.9.2-3
xf86-video-savage 2.3.7-3
xf86-video-siliconmotion 1.7.7-5
xf86-video-sis 0.10.7-6
xf86-video-tdfx 1.4.5-5
xf86-video-trident 1.3.6-6
xf86-video-v4l 0.2.0-14
xf86-video-vesa 2.3.2-5
xf86-video-vmware 13.0.2-2
xf86-video-voodoo 1.2.5-5
xf86dgaproto 2.1-3
xf86vidmodeproto 2.3.1-3
xfsprogs 3.2.1-1
xineramaproto 1.2.1-3
xkeyboard-config 2.13-1
xlockmore 5.43-2
xlogin-git 7-1
xmlrpc-c 1:1.38.02-1
xorg-bdftopcf 1.0.4-2
xorg-docs 1.7-2
xorg-font-util 1.3.0-2
xorg-font-utils 7.6-4
xorg-fonts-100dpi 1.0.1-5
xorg-fonts-75dpi 1.0.3-1
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.1-3
xorg-iceauth 1.0.6-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.1-1
xorg-server 1.16.1-1
xorg-server-common 1.16.1-1
xorg-server-xephyr 1.16.1-1
xorg-sessreg 1.0.8-2
xorg-setxkbmap 1.3.0-2
xorg-smproxy 1.0.5-2
xorg-x11perf 1.5.4-2
xorg-xauth 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.4-2
xorg-xcursorgen 1.0.6-1
xorg-xdpyinfo 1.3.1-1
xorg-xdriinfo 1.0.4-4
xorg-xev 1.2.1-2
xorg-xgamma 1.0.5-2
xorg-xhost 1.0.6-1
xorg-xinit 1.3.4-1
xorg-xinput 1.6.1-1
xorg-xkbcomp 1.2.4-2
xorg-xkbevd 1.1.3-2
xorg-xkbutils 1.0.4-2
xorg-xkill 1.0.4-1
xorg-xlsatoms 1.1.1-2
xorg-xlsclients 1.1.3-1
xorg-xman 1.1.3-1
xorg-xmessage 1.0.4-2
xorg-xmodmap 1.0.8-1
xorg-xpr 1.0.4-2
xorg-xprop 1.2.2-1
xorg-xrandr 1.4.3-1
xorg-xrdb 1.1.0-1
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xorg-xvinfo 1.1.2-2
xorg-xwd 1.0.6-1
xorg-xwininfo 1.1.3-1
xorg-xwud 1.0.4-2
xproto 7.0.26-1
xsel 1.2.0-6
xterm 312-1
xvidcore 1.3.3-1
xz 5.0.7-1
yajl 2.1.0-1
yasm 1.3.0-1
